Maldives,"Jan 8, 2022 368,153","Jan 8, 2022 28,801"
Mali,"Jan 7, 2022 545,403","Jan 7, 2022 397,450"
Malta,"Jan 8, 2022 437,118","Jan 8, 2022 12,761"
Mauritania,"Jan 6, 2022 968,079","Jan 6, 2022 482,470"
Mauritius,"Jan 6, 2022 914,321","Jan 6, 2022 36,563"
Mexico,"Jan 1, 2022 72.85 million","Jan 1, 2022 9.07 million"
Moldova,,
Monaco,,
Mongolia,2.17 million,"100,729"
Montenegro,"274,227","10,520"
Montserrat,"Dec 23, 2021 1,472","Dec 23, 2021 75"
Morocco,"Jan 4, 2022 23.05 million","Jan 4, 2022 1.62 million"
Mozambique,"Jan 6, 2022 6.49 million","Jan 6, 2022 2.50 million"
Myanmar,"Jan 1, 2022 15.57 million","Jan 1, 2022 5.24 million"
Namibia,"Jan 6, 2022 344,214","Jan 6, 2022 61,196"
Nauru,,
Nepal,"Jan 4, 2022 10.71 million","Jan 4, 2022 3.85 million"
Netherlands,"Jan 8, 2022 12.26 million","Jan 8, 2022 1.07 million"
New Caledonia,"Jan 4, 2022 174,855","Jan 4, 2022 8,749"
New Zealand,3.87 million,"106,256"
Nicaragua,"Jan 7, 2022 3.04 million","Jan 7, 2022 1.90 million"
Niger,,
Nigeria,"Jan 6, 2022 4.56 million","Jan 6, 2022 6.13 million"
Niue,,
North America,348.73 million,60.20 million
North Macedonia,"Dec 26, 2021 816,777","Dec 26, 2021 26,094"
Norway,"Jan 6, 2022 3.93 million","Jan 6, 2022 355,662"
Oceania,25.32 million,1.11 million
Oman,"Dec 26, 2021 2.90 million","Dec 26, 2021 219,640"
Pakistan,"Jan 7, 2022 73.86 million","Jan 7, 2022 25.59 million"
Palestine,"Dec 27, 2021 1.52 million","Dec 27, 2021 551,024"
Panama,2.48 million,"561,790"
Papua New Guinea,"Jan 4, 2022 224,073","Jan 4, 2022 62,764"
Paraguay,"Jan 7, 2022 3.00 million","Jan 7, 2022 486,175"
Peru,"Jan 8, 2022 21.89 million","Jan 8, 2022 2.74 million"
Philippines,,
Pitcairn,,
Poland,21.24 million,"606,637"
Portugal,9.14 million,"77,669"
Qatar,,
Romania,,
Russia,67.26 million,6.98 million
Rwanda,"Jan 6, 2022 5.53 million","Jan 6, 2022 2.19 million"
Saint Helena,,
Saint Kitts and Nevis,"Jan 7, 2022 25,789","Jan 7, 2022 1,952"
Saint Lucia,"49,885","6,175"
Saint Vincent and the Grenadines,"Dec 28, 2021 26,244","Dec 28, 2021 7,250"
Samoa,"Dec 20, 2021 121,765","Dec 20, 2021 19,659"
San Marino,"Jan 2, 2022 21,685","Jan 2, 2022 2,684"
Sao Tome and Principe,"Dec 13, 2021 51,216","Dec 13, 2021 35,180"
Saudi Arabia,23.35 million,1.77 million
Senegal,"Jan 6, 2022 994,643","Jan 6, 2022 370,836"
Serbia,"Jan 1, 2022 3.22 million","Jan 1, 2022 95,174"
Seychelles,"Dec 28, 2021 78,263","Dec 28, 2021 4,085"
Sierra Leone,,
Singapore,"Jan 5, 2022 4.72 million","Jan 5, 2022 59,522"
Sint Maarten (Dutch part),"Dec 23, 2021 25,163","Dec 23, 2021 1,978"
Slovakia,2.60 million,"138,001"
Slovenia,1.20 million,"58,044"
Solomon Islands,"Jan 4, 2022 60,639","Jan 4, 2022 124,846"
Somalia,"Dec 26, 2021 810,010","Dec 26, 2021 393,121"
South Africa,16.07 million,3.10 million
South America,280.35 million,51.17 million
South Korea,43.03 million,1.33 million
South Sudan,"199,740","45,264"
Spain,"Jan 6, 2022 38.05 million","Jan 6, 2022 1.91 million"
Sri Lanka,13.86 million,2.15 million
Sudan,"Dec 15, 2021 1.23 million","Dec 15, 2021 2.78 million"
Suriname,"Jan 8, 2022 229,866","Jan 8, 2022 32,689"
Sweden,"Jan 7, 2022 7.43 million","Jan 7, 2022 340,796"
Switzerland,"Jan 6, 2022 5.85 million","Jan 6, 2022 140,875"
Syria,"Jan 3, 2022 852,203","Jan 3, 2022 1.42 million"
Taiwan,"Jan 7, 2022 16.54 million","Jan 7, 2022 2.23 million"
Tajikistan,"Dec 26, 2021 2.90 million","Dec 26, 2021 814,155"
Tanzania,"Dec 28, 2021 1.36 million","Dec 28, 2021 720,705"
Thailand,"Dec 27, 2021 45.42 million","Dec 27, 2021 5.61 million"
Timor,"Jan 4, 2022 544,482","Jan 4, 2022 121,106"
Togo,"Jan 7, 2022 1.04 million","Jan 7, 2022 359,086"
Tokelau,,
Tonga,"Jan 4, 2022 62,887","Jan 4, 2022 10,999"
Trinidad and Tobago,"674,530","46,594"
Tunisia,6.05 million,"946,005"
Turkey,51.89 million,5.21 million
Turkmenistan,,
Turks and Caicos Islands,,
Tuvalu,,
Uganda,"Dec 20, 2021 1.41 million","Dec 20, 2021 6.95 million"
Ukraine,14.00 million,"813,126"
United Arab Emirates,9.16 million,"731,884"
United Kingdom,"Jan 8, 2022 47.68 million","Jan 8, 2022 4.27 million"
United States,206.05 million,40.77 million
Upper middle income,1.83 billion,140.46 million
Uruguay,2.68 million,"93,732"
Uzbekistan,,
Vanuatu,"Dec 20, 2021 50,403","Dec 20, 2021 51,905"
Venezuela,"Dec 17, 2021 11.61 million","Dec 17, 2021 6.79 million"
Vietnam,,
Wallis and Futuna,,
World,3.95 billion,720.07 million
Yemen,,
Zambia,,
Zimbabwe,3.19 million,"981,577"
